Model,Val_MAE,Val_RMSE,Test_MAE,Test_RMSE
Classical_PolyDegree1,518.4121704101562,1258.3957048559885,553.3109130859375,1341.3699620164452
NN_Regressor,467.0472412109375,1051.2119196432277,550.33935546875,1069.3455358302106
